Artículo,Preguntas
1.1,"2,24"
1.2,9
1.3,10
1 (valores),2
2,"1,14,896"
3.1,"12,13,16"
3.2,"9,11"
3.3,15
4.1,22
4.2,17
5,20
6,"19,25,26"
7,"8,29"
8,"5,6"
8.1,7
8.2,6
9.1,30
9.2,"21,27"
9.3,"3,18,23,28"
10,10
10-55,"139,167"
11,"113,136,165"
11.2,"136,192"
12,"44,105"
13,"42,51,54,118,142,202"
13.1,142
13.2,"51,118"
13.3,"54,118,202"
14,"42,161,173,200"
15,"38,64,81,124,183,193"
15-29,134
16,"36,37,63,88,145,194"
16.1,"63,88"
16.2,"178,194"
16.3,"37,145"
17,"70,92,110,158"
17.1,188
17.2,"75,92,110,158"
17.3,"93,107,195"
17.4,"69,75,93,119"
18,"76,80,120,133,169,172,185"
18.1,"80,172,185"
18.2,"76,110"
18.3,"40,120,133,169"
18.4,103
19,"56,197"
20,"39,40,79,150,201"
20.1,150
20.1.a,150
20.1.c,48
20.1.d,"122,201"
20.3,85
20.5,133
21,"74,100,197"
21.1,100
21.2,117
22,"49,170,189,1144"
22.2,49
22.3,1144
22.5,170
23,87
23.1,87
24,"61,62,65,67,82,128,168,772"
24.1,61
24.2,"62,65,67,82,114,128,168,176"
25,"50,55,58,64,68,140,166"
25.1,68
25.2,166
25.3,"50,55"
26,"31,135"
27,"95,98,121,129,132,177,182"
27.1,129
27.10,177
27.2,"39,121"
27.3,129
27.4,121
27.5,182
27.6,117
27.7,132
28,"34,66,98,101,148"
28.1,"34,98,148"
28.2,66
29,"60,143,163,171"
30,"89,106,152,200"
30.1,"84,101"
30.2,"89,102,123,200"
30.3,152
31,"33,112"
31.2,"97,112"
31.3,"33,97,112"
32,"41,141"
33,"151,162,184,198"
33.2,162
33.3,58
34,"59,99"
35,"86,160"
35.1,160
35.2,156
36,"46,156"
37,156
37.1,"46,203"
38,131
39,"44,57,91,155,164"
39.2,91
40,146
40.1,72
40.2,146
41,"27,57,187"
42,78
43,"43,78,180"
43.3,"155,180"
44,"91,108,179"
44.1,91
44.2,108
45,"83,130,131,147,175"
45.1,131
45.2,181
46,"43,115,138,159"
47,1146
48,149
49,164
50,175
51,"52,104,147,154,199"
51.1,52
51.3,199
52,154
53,"90,109,134,184,200"
53.1,134
53.2,"90,1142"
54,"32,35,47,116,125,127,153,157,190,191,196,310"
55,"45,53,71,73,77,94,96,111,126,137,144,186,201"
55.1,"73,96,126"
55.2,"71,77,94,111,137,1149"
56,"220,247,292,334,335,336,337,338,339,340,341"
56.1,"220,292,334,335,336,337"
56.2,"338,339"
56.3,"214,301,309,340,341"
57,"213,236,272,327,342,343,344,345"
57.1,"213,230,252,266,286,293,326,327,342,343,344,345"
57.2,"229,255"
57.3,314
57.4,228
57.5,"205,227,256,330"
58,"206,219"
59,"210,237"
59.1,210
59.2,207
59.3,253
59.5,294
60,"225,226,238,248"
60.1,"225,226,248,271,295,331"
60.2,"267,306"
61.1,"215,234,259,296"
61.2,328
62,"268,269,288,325"
62.a,"221,249"
62.b,224
62.c,"262,270"
62.d,"223,311"
62.e,241
62.f,242
62.g,243
62.h,217
62.i,"209,222,332"
63.1,"216,260"
63.2,"244,291"
63.3,"245,261,290"
64,"235,251,297,298,299,300,302,303,304,308,316,317,318,319,320,321,322,323,324"
64.1,"208,251,254,297,298,299,300,302,303,316,317,318,319,320,321,322,323,324,333"
64.2,304
65,"240,246"
65.1,"240,264"
65.2,"211,212,218,257,307,315"
66,448
66.1,"394,395,491,531"
66.2,483
66.3,532
67.1,"422,533"
67.2,"373,423,534"
67.3,"424,535"
68.1,"354,425,489,536"
68.2,"411,426,537"
68.3,"355,538,549"
68.4,"472,473,507,539"
68.5,"474,475,540"
68.6,"348,476,477"
69.1,"430,478,550"
69.2,"479,547"
69.3,"415,551"
69.4,"480,486,552"
69.5,"481,546,553"
69.6,"482,524,554"
70,"488,555"
70.1,416
70.2,"417,556"
71.1,"418,451"
71.2,"419,542"
71.3,420
71.4,"408,421"
72.1,"375,513,514,515"
72.2,"392,447,512,523,525"
72.3,"377,516,526"
73.1,"378,389,391"
73.2,"379,407,508,517"
74.1,"380,509"
74.2,"381,431,485"
75,347
75.1,"382,429,518"
75.2,"383,493,503"
75.3,"350,384"
76,452
76.1,"385,454,465,471"
76.2,"386,469"
77.1,"387,519"
77.2,"455,484,520"
78,"312,529"
78.1,"409,456,511,521"
78.2,"413,414,427,457,467"
78.3,458
78.4,459
79.1,433
79.2,434
79.3,"435,545"
80,"432,460"
81.1,436
81.2,"356,369,461"
82.1,"437,462"
82.2,"438,463,541"
82.3,"439,464,466"
82.4,440
82.5,441
82.6,442
83.a,443
83.b,"357,530"
84,"444,506"
85,"358,445,527"
86.1,"359,446,522"
86.2,449
87.1,360
87.2,361
87.3,"362,501"
88,363
89.1,"364,504"
89.2,502
90.1,528
90.2,"365,490"
90.3,470
91,"366,487"
92.1,396
92.2,"367,543"
92.3,370
94.1,368
95.1,397
95.2,398
96.1,"372,399,400"
96.2,412
97,"564,596,599,628,629,630,631,632"
98.1,"565,582,633,634,635,636,658"
98.2,"566,618"
98.3,"567,576"
98.4,568
99,"453,604"
99.1,"263,569"
99.2,570
99.3,"278,561,571,572,601,617,637"
99.4,573
99.5,"574,624,642"
100,"279,575,718"
101.1,585
101.2,"586,623,645"
102.1,"587,619"
102.2,588
102.3,589
103.1,"590,607"
103.2,"591,606"
103.3,"592,608,609,625,626,627"
104.1,"581,593,610"
104.2,"594,611"
105.a,612
105.b,"595,613"
105.c,614
106.1,"577,615"
106.2,616
107,"578,603,641,643,659"
108,"560,600,647,673,690,712"
109,"494,665,674,691,713"
110.1,"401,495,648,692,714"
110.2,"402,496,649,693"
111.1,"403,497,650,651,694,716"
111.2,"404,498,652,695"
112,"352,405,499,653,679,696,721"
113,"393,697"
113.1,"406,500,654,701"
113.2,655
113.3,"605,656,683"
113.4,"657,666"
114.1,675
114.2,"676,698"
115.1,"660,663,677,680"
115.2,"597,703"
115.3,"374,704"
116.1,705
116.2,"667,684,706"
116.3,"621,668,685,699,707"
116.4,"669,686,702,708"
116.5,"558,602,662,670,671,687,688,709,710,717"
116.6,"672,682,689,711"
117,"724,770,829,836"
117.1,"722,724,747,835,836,854,855,856"
117.3,"731,764,837"
117.4,"732,810"
117.5,"733,734,743,788,811,838"
117.6,"735,745,834"
118,"736,839,851"
119,"737,766,840,847"
120.1,"738,841"
120.2,"739,842"
120.3,"740,843,848"
121,"741,752,844"
122.1,"728,742,785,845"
122.2,"751,791,793,794,808"
122.3,"231,748,749,771,774,775,776,777,787,795,802,803,807,812,828,849"
123.1,"761,778"
123.2,"273,281,726,744,762,779,783,815,857"
124,149
124.1,"763,780,796,797,798,816"
124.2,"753,768,781,799,817,818"
124.3,"754,782,819"
124.4,"275,729,755,820,826,858"
125,"756,786,800,821,822,859"
126,"757,801,823,832,850,860"
127,750
127.1,"758,759,824,861"
127.2,"730,760"
128.1,862
128.2,878
129.1,879
129.2,"880,885"
130.1,881
130.2,882
131.1,864
131.2,866
132.1,868
132.2,863
133.1,"867,887"
134.3,888
134.4,889
134.5,890
134.6,886
134.7,891
135.1,892
135.2,893
135.3,894
136.1,"351,869,870"
136.2,865
136.3,871
136.4,872
137,"873,1007,1020,1026"
138.1,"874,1016"
138.2,"875,1017"
139.1,"876,1018,1028"
139.2,"877,1019"
140,"941,966,990,1009,1015"
141.1,"1014,1042,1051,1065"
141.2,"937,1013"
141.3,"988,1012"
141.4,"1011,1044"
142,1010
143,899
143.1,"987,989,998"
143.2,"912,967,999"
143.3,"1000,1004"
144.a,1001
144.b,1002
144.c,1003
145.1,1064
145.2,"945,955,1022"
146,"946,956"
147.2,"916,936,947,957"
147.3,"933,938,974,986"
148,970
148.1.1,"948,958"
148.1.2,"949,959"
148.1.3,960
148.1.4,961
148.1.5,962
148.1.6,963
148.1.7,964
148.1.8,965
148.2,897
149,900
149.1,1008
149.1.16,1062
149.1.2,917
149.1.3,918
149.1.4,919
149.1.5,"920,1046"
149.1.6,921
149.1.7,922
149.1.8,923
149.1.9,924
149.1.10,925
149.1.11,926
149.1.12,927
149.1.13,928
149.1.14,929
149.1.15,930
149.1.30,902
149.3,"1006,1043,1052,1053"
150.1,"915,1054"
150.2,"975,1055"
150.3,976
151,899
151.1,"940,950,977,1005,1057"
151.2.1,"1041,1058"
151.2.2,1059
151.2.3,1060
151.2.4,1061
151.2.5,"971,1040"
151.3,1067
152.1,"277,280,895,898,901,931,932,934,978,985,1038,1039,1045"
152.2,"969,980"
152.3,"981,991"
153,1050
153.a,"903,982,1037"
153.b,"904,913,983,1036"
153.c,"905,984,1035"
153.d,"906,1023,1034"
154,"720,907,943,953"
155.1,"908,942,952"
155.2,"909,1063"
156.1,"910,1029,1033"
156.2,"911,1032"
157.1,993
157.2,994
157.3,995
158,1048
158.1,996
158.2,"944,968,992,997"
159,"43,115,138"
159.1,"115,276,1068,1069,1091,1097"
159.2,"1071,1093"
159.3,"1074,1098"
159.4,"1092,1094,1099"
159.5,1077
160,"274,1078,1095,1100"
161.1.a,1079
161.1.b,1080
161.1.c,1081
161.2,1082
162.1.a,"638,1083"
162.1.b,"1075,1084"
163,"1076,1085,1090"
164.1,"1070,1086,1087,1096"
164.2,1088
165,"1072,1073,1089"
166,"1101,1109"
167.1,"1102,1103"
167.2,1104
167.3,"1105,1106"
168.1,1108
168.2,"1110,1111"
168.3,1107
169,1112
DA.1,"1113,1114,1121"
DA.2,"1115,1123"
DA.3,"1116,1124"
DA.4,"1117,1125"
DT.1,"1122,1126"
DT.2,"1120,1127"
DT.3,1128
DT.4,"1129,1139"
DT.5,"1130,1141"
DT.6,"1131,1137"
DT.7,1132
DT.8,"1133,1136,1138"
DT.9,1134
DD.1,1135
DD.2,1119
DF,1140